id_no,id_prox_no,peso,titulo,proximo_video_titulo,visualizacoes,curtidas,canal,data,url
0,1,1,A Melhor Historia Brasileira de Aviacao | EP. 1072,Boeing 777 - o aviao FAVORITO do Lito | EP. 777,366432,68000.0,Avioes e Musicas,27 de nov. de 2022,https://www.youtube.com/watch?v=A8h9ZfWaWCo
1,40,1,Boeing 777 - o aviao FAVORITO do Lito | EP. 777,Voos United 585 e UsAir 427 - Defeito FATAL | EP. 1033,2549107,103000.0,Avioes e Musicas,13 de jun. de 2021,https://www.youtube.com/watch?v=P_WRAUmsoHk
2,4,1,Bolsonaro (PL) pergunta para Felipe D'Avila (Novo) sobre governos de esquerda #DebateNaGlobo,Bolsonaro (PL) pergunta para Padre Kelmon (PTB) sobre Lei Rouanet #DebateNaGlobo,234918,4600.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=enshEm19iTI
3,25,1,Bolsonaro (PL) pergunta para Felipe D'Avila (Novo) sobre relacao com o Congresso #DebateNaGlobo,Padre Kelmon (PTB) pergunta para Ciro Gomes (PDT) sobre educacao #DebateNaGlobo,248353,3700.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=vCs_VR6NoAY
4,34,1,Bolsonaro (PL) pergunta para Padre Kelmon (PTB) sobre Lei Rouanet #DebateNaGlobo,Simone Tebet (MDB) pergunta para Soraya Thronicke (Uniao Brasil) sobre educacao #DebateNaGlobo,568522,11000.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=LIUq9sLrpfM
5,27,1,Bolsonaro (PL) responde pergunta sobre violencia politica; Ciro Gomes (PDT) comenta | CNN BRASIL,Padre Kelmon (PTB) pergunta para Lula (PT) sobre corrupcao #DebateNaGlobo,105897,2600.0,CNN Brasil,24 de set. de 2022,https://www.youtube.com/watch?v=Eesqem3ebtc
6,31,1,Bolsonaro pergunta a Ciro Gomes sobre politica para mulheres,"Padre de festa junina, extrema-uncao e catequese: o embate entre Soraya Thronicke e Padre Kelmon",2065055,36000.0,Band Jornalismo,28 de ago. de 2022,https://www.youtube.com/watch?v=J9ZT5E2qz-I
7,13,1,Ciro Gomes (PDT) pergunta para Bolsonaro (PL) sobre corrupcao #DebateNaGlobo,Felipe D'Avila (Novo) pergunta para Lula (PT) sobre cotas raciais #DebateNaGlobo,952656,16000.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=JfZGTo5Bo2U
8,7,1,Ciro Gomes (PDT) pergunta para Lula (PT) sobre desigualdade economica #DebateNaGlobo,Ciro Gomes (PDT) pergunta para Bolsonaro (PL) sobre corrupcao #DebateNaGlobo,570354,12000.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=A4a9TSNAtn0
8,37,1,Ciro Gomes (PDT) pergunta para Lula (PT) sobre desigualdade economica #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,570354,12000.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=A4a9TSNAtn0&t=1s
9,14,1,Ciro Gomes (PDT) pergunta para Soraya Thronicke (Uniao Brasil) sobre emprego #DebateNaGlobo,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre privatizacoes #DebateNaGlobo,94508,1200.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=SwMvZPwiSEU
10,9,1,Ciro Gomes (PDT) pergunta para Soraya Thronicke (Uniao Brasil) sobre privatizacoes #DebateNaGlobo,Ciro Gomes (PDT) pergunta para Soraya Thronicke (Uniao Brasil) sobre emprego #DebateNaGlobo,208967,2300.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=6l643kpTQdo
11,0,1,FUGIU Com O Aviao Mais SECRETO Da Uniao Sovietica EP. 663,A Melhor Historia Brasileira de Aviacao | EP. 1072,1223781,110000.0,Avioes e Musicas,26 de jul. de 2020,https://www.youtube.com/watch?v=2LBSbN9Z5ZA
12,10,1,Felipe D'Avila (Novo) pergunta para Ciro Gomes (PDT) sobre corrupcao no governo PT #DebateNaGlobo,Ciro Gomes (PDT) pergunta para Soraya Thronicke (Uniao Brasil) sobre privatizacoes #DebateNaGlobo,280960,6200.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=lajAdt9m9aM
13,12,1,Felipe D'Avila (Novo) pergunta para Lula (PT) sobre cotas raciais #DebateNaGlobo,Felipe D'Avila (Novo) pergunta para Ciro Gomes (PDT) sobre corrupcao no governo PT #DebateNaGlobo,304156,6600.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=Y2KzMEvcXyc
13,37,1,Felipe D'Avila (Novo) pergunta para Lula (PT) sobre cotas raciais #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,304156,6600.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=Y2KzMEvcXyc&t=1s
14,2,1,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre privatizacoes #DebateNaGlobo,Bolsonaro (PL) pergunta para Felipe D'Avila (Novo) sobre governos de esquerda #DebateNaGlobo,73782,1100.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=IO3EVo7z-xw
14,26,1,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre privatizacoes #DebateNaGlobo,Padre Kelmon (PTB) pergunta para Felipe D'Avila (Novo) sobre habitacao #DebateNaGlobo,73782,1100.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=IO3EVo7z-xw
14,33,1,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre privatizacoes #DebateNaGlobo,Simone Tebet (MDB) pergunta para Lula (PT) sobre gastos publicos #DebateNaGlobo,73782,1100.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=IO3EVo7z-xw&t=3s
14,37,1,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre privatizacoes #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,73782,1100.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=IO3EVo7z-xw
15,22,1,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre saude #DebateNaGlobo,Lula (PT) pergunta para Soraya Thronicke (Uniao Brasil) sobre fome #DebateNaGlobo,100963,1400.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=DVBZWZkpCew
16,38,1,Foi muito ESTRANHO o ACIDENTE do voo Saudia 163 | EP. 765,"Tenerife, O MAIOR acidente aereo de todos os TEMPOS EP. 156",3241276,204000.0,Avioes e Musicas,2 de mai. de 2021,https://www.youtube.com/watch?v=sM7five_Sqc
17,16,1,INACREDITAVEL essa HISTORIA - Pacific Clipper | EP. 805,Foi muito ESTRANHO o ACIDENTE do voo Saudia 163 | EP. 765,1677583,102000.0,Avioes e Musicas,5 de set. de 2021,https://www.youtube.com/watch?v=9U6Fd1Upn3w
18,19,1,"LUXUOSO, BLINDADO e PODEROSO - Como e o AVIAO PRESIDENCIAL de PUTIN, o IL-96-300PU",Lockheed SR-71 Blackbird - Ate hoje o AVIAO MAIS RAPIDO DO MUNDO,796875,53000.0,Aero Por Tras da Aviacao,Estreou em 3 de abr. de 2022,https://www.youtube.com/watch?v=LvK0aeoJ-6g
19,11,1,Lockheed SR-71 Blackbird - Ate hoje o AVIAO MAIS RAPIDO DO MUNDO,FUGIU Com O Aviao Mais SECRETO Da Uniao Sovietica EP. 663,2550704,96000.0,Aero Por Tras da Aviacao,31 de jan. de 2021,https://www.youtube.com/watch?v=ViNOP7eEFxw
20,14,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre agricultura #DebateNaGlobo,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre privatizacoes #DebateNaGlobo,136582,2700.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=0eU_TP-hgDA&t=2s
20,15,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre agricultura #DebateNaGlobo,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre saude #DebateNaGlobo,136581,2700.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=0eU_TP-hgDA
20,26,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre agricultura #DebateNaGlobo,Padre Kelmon (PTB) pergunta para Felipe D'Avila (Novo) sobre habitacao #DebateNaGlobo,136582,2700.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=0eU_TP-hgDA&t=3s
20,37,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre agricultura #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,136582,2700.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=0eU_TP-hgDA&t=4s
21,8,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre cultura #DebateNaGlobo,Ciro Gomes (PDT) pergunta para Lula (PT) sobre desigualdade economica #DebateNaGlobo,201184,3500.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=yBmkCH-NTDU&t=1s
21,14,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre cultura #DebateNaGlobo,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre privatizacoes #DebateNaGlobo,201184,3500.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=yBmkCH-NTDU&t=1s
21,18,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre cultura #DebateNaGlobo,"LUXUOSO, BLINDADO e PODEROSO - Como e o AVIAO PRESIDENCIAL de PUTIN, o IL-96-300PU",201184,3500.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=yBmkCH-NTDU&t=16s
21,20,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre cultura #DebateNaGlobo,Lula (PT) pergunta para Ciro Gomes (PDT) sobre agricultura #DebateNaGlobo,201184,3500.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=yBmkCH-NTDU&t=12s
21,26,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre cultura #DebateNaGlobo,Padre Kelmon (PTB) pergunta para Felipe D'Avila (Novo) sobre habitacao #DebateNaGlobo,201184,3500.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=yBmkCH-NTDU&t=14s
21,37,1,Lula (PT) pergunta para Ciro Gomes (PDT) sobre cultura #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,201184,3500.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=yBmkCH-NTDU&t=8s
22,3,1,Lula (PT) pergunta para Soraya Thronicke (Uniao Brasil) sobre fome #DebateNaGlobo,Bolsonaro (PL) pergunta para Felipe D'Avila (Novo) sobre relacao com o Congresso #DebateNaGlobo,290028,5000.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=L7GKp6UeYbE
23,37,1,Padre Kelmon (PTB) pergunta para Bolsonaro (PL) sobre Auxilio Brasil #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,991645,20000.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=_OjqlLsVfOk
24,29,1,Padre Kelmon (PTB) pergunta para Ciro Gomes (PDT) sobre aborto | CNN BRASIL,Padre Kelmon e perguntado sobre a Lei da Ficha Limpa | Debate presidentes 2022,368223,6500.0,CNN Brasil,24 de set. de 2022,https://www.youtube.com/watch?v=Ih2rP4DWmYs
25,34,1,Padre Kelmon (PTB) pergunta para Ciro Gomes (PDT) sobre educacao #DebateNaGlobo,Simone Tebet (MDB) pergunta para Soraya Thronicke (Uniao Brasil) sobre educacao #DebateNaGlobo,207435,3100.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=xE1LtYIMs2g
26,13,1,Padre Kelmon (PTB) pergunta para Felipe D'Avila (Novo) sobre habitacao #DebateNaGlobo,Felipe D'Avila (Novo) pergunta para Lula (PT) sobre cotas raciais #DebateNaGlobo,87223,1200.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=gLVtGS438Ho&t=2s
26,20,1,Padre Kelmon (PTB) pergunta para Felipe D'Avila (Novo) sobre habitacao #DebateNaGlobo,Lula (PT) pergunta para Ciro Gomes (PDT) sobre agricultura #DebateNaGlobo,87223,1200.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=gLVtGS438Ho
26,21,1,Padre Kelmon (PTB) pergunta para Felipe D'Avila (Novo) sobre habitacao #DebateNaGlobo,Lula (PT) pergunta para Ciro Gomes (PDT) sobre cultura #DebateNaGlobo,87223,1200.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=gLVtGS438Ho&t=6s
26,32,1,Padre Kelmon (PTB) pergunta para Felipe D'Avila (Novo) sobre habitacao #DebateNaGlobo,Simone Tebet (MDB) pergunta para Felipe D'Avila (Novo) sobre saude publica #DebateNaGlobo,87223,1200.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=gLVtGS438Ho
27,36,1,Padre Kelmon (PTB) pergunta para Lula (PT) sobre corrupcao #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta a Kelmon (PTB) sobre mortes na pandemia #DebateNaGlobo,6307681,113000.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=l7JLaZDl01Q
28,24,1,Padre Kelmon (PTB) pergunta para Simone Tebet (MDB) sobre aborto | CNN BRASIL,Padre Kelmon (PTB) pergunta para Ciro Gomes (PDT) sobre aborto | CNN BRASIL,644128,10000.0,CNN Brasil,24 de set. de 2022,https://www.youtube.com/watch?v=7FsGZbuSeiY
29,30,1,Padre Kelmon e perguntado sobre a Lei da Ficha Limpa | Debate presidentes 2022,"Padre Kelmon, do PTB, diz que negros nao precisam da lei de cotas | Debate presidentes 2022",318716,13000.0,SBT News,24 de set. de 2022,https://www.youtube.com/watch?v=46HC-GVIdIA
30,39,1,"Padre Kelmon, do PTB, diz que negros nao precisam da lei de cotas | Debate presidentes 2022",Thronicke (Uniao Brasil) responde pergunta sobre imposto unico; Kelmon (PTB) comenta | CNN BRASIL,202731,10000.0,SBT News,24 de set. de 2022,https://www.youtube.com/watch?v=0TrIFQrvKOo
31,28,1,"Padre de festa junina, extrema-uncao e catequese: o embate entre Soraya Thronicke e Padre Kelmon",Padre Kelmon (PTB) pergunta para Simone Tebet (MDB) sobre aborto | CNN BRASIL,3374874,56000.0,Folha de S.Paulo,30 de set. de 2022,https://www.youtube.com/watch?v=mbonCT-zUKw
32,14,1,Simone Tebet (MDB) pergunta para Felipe D'Avila (Novo) sobre saude publica #DebateNaGlobo,Felipe D'Avila (Novo) pergunta para Simone Tebet (MDB) sobre privatizacoes #DebateNaGlobo,73019,1200.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=ufjJfkbfRWk
33,37,1,Simone Tebet (MDB) pergunta para Lula (PT) sobre gastos publicos #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,334595,6300.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=p1v_aJqi0Pg
34,8,1,Simone Tebet (MDB) pergunta para Soraya Thronicke (Uniao Brasil) sobre educacao #DebateNaGlobo,Ciro Gomes (PDT) pergunta para Lula (PT) sobre desigualdade economica #DebateNaGlobo,289801,3700.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=ETy1kQZWWfA&t=2s
35,23,1,Soraya Thronicke (Uniao Brasil) pergunta a Bolsonaro (PL) sobre respeito as eleicoes #DebateNaGlobo,Padre Kelmon (PTB) pergunta para Bolsonaro (PL) sobre Auxilio Brasil #DebateNaGlobo,1608537,26000.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=KHSvg8ubgv0
36,35,1,Soraya Thronicke (Uniao Brasil) pergunta a Kelmon (PTB) sobre mortes na pandemia #DebateNaGlobo,Soraya Thronicke (Uniao Brasil) pergunta a Bolsonaro (PL) sobre respeito as eleicoes #DebateNaGlobo,866879,13000.0,g1,29 de set. de 2022,https://www.youtube.com/watch?v=TCUCsdGfF38
37,20,1,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,Lula (PT) pergunta para Ciro Gomes (PDT) sobre agricultura #DebateNaGlobo,423484,6000.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=0rlYVPffxXQ&t=2s
37,21,1,Soraya Thronicke (Uniao Brasil) pergunta para Padre Kelmon (PTB) sobre educacao #DebateNaGlobo,Lula (PT) pergunta para Ciro Gomes (PDT) sobre cultura #DebateNaGlobo,423484,6000.0,g1,30 de set. de 2022,https://www.youtube.com/watch?v=0rlYVPffxXQ&t=4s
38,40,1,"Tenerife, O MAIOR acidente aereo de todos os TEMPOS EP. 156",-1,7172977,347000.0,Avioes e Musicas,2 de abr. de 2017,https://www.youtube.com/watch?v=t3FLv5nZtjg
39,5,1,Thronicke (Uniao Brasil) responde pergunta sobre imposto unico; Kelmon (PTB) comenta | CNN BRASIL,Bolsonaro (PL) responde pergunta sobre violencia politica; Ciro Gomes (PDT) comenta | CNN BRASIL,17827,321000.0,CNN Brasil,24 de set. de 2022,https://www.youtube.com/watch?v=HhT2XSPP2eE
40,17,1,Voos United 585 e UsAir 427 - Defeito FATAL | EP. 1033,INACREDITAVEL essa HISTORIA - Pacific Clipper | EP. 805,567205,62000.0,Avioes e Musicas,4 de set. de 2022,https://www.youtube.com/watch?v=HUpKbJ9DnzU
